把地图设计搞好，以后肯定能有法环这个级别的作品
星星之火，可以燎原
香槟？茅台？汾酒！山西可是重要取景地啊！
幽默达尔文社会论
大圣斩妖除魔
哈哈哈哈哈哈，正常人哪有那么多代入感
什么叫顶级的逆向思维啊（战术后仰）
不是，真不一定活的到20号，怕当晚就被雷劈了
独立血条，逆天防御
对的，mc和ign在降预期方面其实是正面作用
游戏还没正式发售，只是在评测版有他国语言问题是很严重的错误吗？耽误咱们玩吗？
有人说这不是游科的问题，是系统语言出错导致的bug
可能真的活不到吧，毕竟浮游生物只能活一天，多一秒都会爆炸
支持黑神话悟空，是因为猴哥，是因为齐天大圣，是中国人自己的文化
我相信玩家评分一定会比媒体高，因为玩家比媒体纯粹
老洛啊，老洛
白噪弹！
除了少数媒体，其实国外顶尖的几家分也不算低，这还是不了解西游记和中国文化的前提
印象最深的是尼尔机械纪元
他说话就像鲁迅的散文
敌人越批评我，就说明我做的越对。
龙之信条2我通关甚至白金了这游戏掉帧其实都能算小问题因为最大的问题是怪物种类少换皮和后期内容匮乏
皇帝轮流做，今年到我家
ps5版？可以啊
这点说的很对，我认识几个串子和反贼，大部分是这个心态。
说不定真似20号前了
黑红也是红
香槟党头目
聊天记录，那不得不信了（doge
对的，到时候更想看更多设计典籍，boss典故，小细节之类的有趣东西
可是玩不到啊
《外地化》
3dm评测：我通关了 赤髯龙呢？
因为知子莫若父
知子莫若父
安装目录不能有英文吗
金色传说
终于轮到他们“安装路径必须中文”了（doge）
英语：完了，我成小语种了！
还有说地图很大但是空洞 结果是他地图隐藏的东西都发现不了
还真不一定
都等了四年了，再等两年吧
哈哈哈小语种笑死了
打个比方“学长用流水是事”
守得云开见月明，轻舟已过万重山啊
贴吧常规操作
"自信点. 人家就是不想给高分而已, 不要落入自证陷阱"
我未上车，你就到站了
电子生命啦，停电他们就老实了
蚌埠住了
？？？这就通关了
3DM小编：真有赤髯龙啊
确实，我印象中死亡搁浅一开始的媒体评分也不行……
传说之下做成了弹幕躲避
现在还得是你更幽默。
现在还得是你更幽默。
现在还得是你更幽默。
制作人：中国
死亡搁浅6.8真的搞笑这都敢打
好骂
泪目
游戏发售了，好游戏，但是抛开国产和情怀，就是8-8.5，缺点很明显，你清算谁？
你也幽默
梅西粉丝清算阿伟罗
你说的我认可，但关键是你得打boss身上的罐子啊啊啊
joker
多亏了他们不懂西游，对人物形象没个预设
第一章结尾和第二章开头都把我震撼到了，虽然是云游戏
世界第一ARPG打卡
多周目是指二周目都不用打就能打隐藏结局是吧，逆天东西
这个剧情，纯纯喂史
还敢说怎么让游戏变得更好？猴批会允许你“大放厥词”？
牛逼
类目
喜欢藏，又喜欢空气墙
爆杀博德之门脚踩艾尔登法环不解释！
因为我一直在看你直播（喜）
说得好！
今天忽然想到，人再多就保不住有分歧，这环境也挺难的
对
我年纪大了，说实话每看到中国争气我就忍不住泪目
因为虚弱声音。。。
结果游戏里面开篇大圣就死了 还被分了丝
你不如砸中
那假如给你带到了一个不应该的高度导致反噬了怎么办呢，你负责么
